FIPS,PROPERTYID,APN,SITUSFULLSTREETADDRESS,SITUSHOUSENBR,SITUSHOUSENBRSUFFIX,SITUSDIRECTIONLEFT,SITUSSTREET,SITUSMODE,SITUSDIRECTIONRIGHT,SITUSUNITTYPE,SITUSUNITNBR,SITUSCITY,SITUSSTATE,SITUSZIP5,SITUSLATITUDE,SITUSLONGITUDE,LANDUSECODE,LOTSIZESQFT,YEARBUILT,EFFECTIVEYEARBUILT,BEDROOMS,FIREPLACECODE,BATHTOTALCALC,BATHSPARTIALNBR,SUMBUILDINGSQFT,TOTALROOMS,BASEMENTFINISHEDSQFT,BASEMENTUNFINISHEDSQFT
53033,144046308,233130-0386,6521 FREMONT AVE N,6521,,,FREMONT,AVE,N,,,SEATTLE,WA,98103,47.676744,-122.350228,1001,3000,1925,1925,3,1,1.00,0,1430,0,0,800
53033,144046315,233130-0435,525 N 66TH ST,525,,N,66TH,ST,,,,SEATTLE,WA,98103,47.67668,-122.351445,1001,6000,1913,1913,4,1,1.00,0,1520,0,0,960
53033,144046269,233130-0165,536 N 67TH ST,536,,N,67TH,ST,,,,SEATTLE,WA,98103,47.675775,-122.347757,1999,4960,1923,1923,5,1,4.50,3,3620,0,260,0
